id,price,sqft,bedrooms,bathrooms,neighborhood,year_built,lot_size,floors,basement,garage,distance_to_city_center,school_rating,property_type
1,320000,1800,3,2,Downtown,1998,0.12,1,1,1,1.2,8.5,Single Family
2,450000,2400,4,2.5,Riverside,2002,0.18,2,1,2,2.5,9.1,Single Family
3,280000,1500,2,1.5,Westside,1985,0.10,1,0,1,3.7,7.8,Single Family
4,520000,2800,5,3,Northend,2010,0.22,2,1,2,4.2,9.3,Single Family
5,380000,1950,3,2,Eastside,2005,0.15,1,1,1,2.9,8.2,Single Family
6,295000,1600,3,1.5,Southside,1992,0.11,1,0,1,5.1,7.4,Single Family
7,410000,2200,4,2,Downtown,2001,0.09,2,1,1,0.8,8.7,Townhouse
8,350000,1850,3,2,Riverside,1999,0.14,1,1,1,2.1,8.9,Single Family
9,620000,3200,5,3.5,Northend,2015,0.25,2,1,3,3.8,9.5,Single Family
10,275000,1400,2,1,Westside,1982,0.09,1,0,1,4.2,7.2,Single Family
11,340000,1750,3,2,Eastside,2003,0.13,1,1,1,3.1,8.3,Single Family
12,395000,2100,4,2,Southside,2007,0.17,2,1,2,4.5,7.9,Single Family
13,580000,3000,4,3,Northend,2012,0.23,2,1,2,3.5,9.4,Single Family
14,310000,1650,3,1.5,Westside,1990,0.12,1,0,1,3.9,7.6,Single Family
15,420000,2300,4,2.5,Riverside,2004,0.16,2,1,2,2.3,9.0,Single Family
16,360000,1900,3,2,Downtown,2000,0.08,2,0,1,1.0,8.6,Townhouse
17,490000,2600,4,3,Northend,2008,0.20,2,1,2,3.9,9.2,Single Family
18,285000,1500,3,1.5,Southside,1989,0.10,1,0,1,5.3,7.3,Single Family
19,370000,1950,3,2,Eastside,2002,0.14,1,1,1,3.0,8.4,Single Family
20,530000,2900,5,3,Riverside,2011,0.21,2,1,2,2.7,9.1,Single Family
21,305000,1600,3,1.5,Westside,1993,0.11,1,0,1,4.0,7.7,Single Family
22,425000,2250,4,2.5,Downtown,2005,0.09,2,1,1,1.5,8.8,Townhouse
23,365000,1900,3,2,Eastside,2001,0.15,1,1,1,3.2,8.3,Single Family
24,480000,2500,4,2.5,Northend,2007,0.19,2,1,2,4.0,9.2,Single Family
25,290000,1550,3,1.5,Southside,1991,0.10,1,0,1,5.2,7.5,Single Family
26,385000,2000,3,2,Riverside,2003,0.15,1,1,1,2.4,8.9,Single Family
27,550000,3000,5,3,Northend,2013,0.23,2,1,2,3.6,9.4,Single Family
28,315000,1650,3,2,Westside,1994,0.12,1,1,1,3.8,7.8,Single Family
29,430000,2300,4,2.5,Downtown,2006,0.09,2,1,1,1.1,8.7,Townhouse
30,375000,1950,3,2,Eastside,2002,0.14,1,1,1,3.3,8.4,Single Family
31,495000,2600,4,3,Northend,2009,0.21,2,1,2,3.7,9.3,Single Family
32,298000,1550,3,1.5,Southside,1992,0.11,1,0,1,5.0,7.4,Single Family
33,390000,2050,4,2,Riverside,2004,0.16,1,1,2,2.2,9.0,Single Family
34,560000,3100,5,3.5,Northend,2014,0.24,2,1,2,3.5,9.4,Single Family
35,320000,1700,3,2,Westside,1995,0.12,1,1,1,3.7,7.9,Single Family
36,440000,2350,4,2.5,Downtown,2007,0.09,2,1,1,0.9,8.8,Townhouse
37,380000,2000,3,2,Eastside,2003,0.15,1,1,1,3.1,8.4,Single Family
38,505000,2700,4,3,Northend,2010,0.22,2,1,2,3.8,9.3,Single Family
39,300000,1600,3,1.5,Southside,1993,0.11,1,0,1,4.9,7.5,Single Family
